FileName,Type,Group,Instance,TGIType,TGISubtype,Message
BSC MEGA Props - CAL vol01 v2, 0x6534284A,0x096E6817,0xC137E000,EXMP,EXEMPLAR,missing property: ExemplarType
BSC MEGA Props - JENX Vol03, 0x6534284A,0x096E6739,0x10240000,EXMP,EXEMPLAR,missing property: ExemplarType
BSC MEGA Props - JENX Vol03, 0x6534284A,0x096E6739,0x10240010,EXMP,EXEMPLAR,missing property: ExemplarType
BSC MEGA Props - JENX Vol03, 0x6534284A,0x096E6739,0x10240020,EXMP,EXEMPLAR,missing property: ExemplarType
BSC MEGA Props - Misc Vol02 v3, 0x6534284A,0x096E6739,0xC35CEF01,EXMP,EXEMPLAR,missing property: ExemplarType
BSC MEGA Props - RT Vol03, 0x6534284A,0x096E6739,0xB2350009,EXMP,EXEMPLAR,missing property: ExemplarType
BSC MEGA Props - SG Vol01_v2, 0x6534284A,0x096E6739,0xC35CEF01,EXMP,EXEMPLAR,missing property: ExemplarType
CSX MEGA Props - Vol06_v2, 0x6534284A,0x67BDDF0C,0xCF080000,EXMP,EXEMPLAR,missing property: ExemplarType
davide prop v1, 0x6534284A,0x07BDDF1C,0x2E1B2045,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF32,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF33,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF47,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF48,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF49,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF4A,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF4B,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF44,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF45,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF46,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF2E,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF2D,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF2F,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF30,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF31,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF37,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF38,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF39,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF3A,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF3B,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF06,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF07,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF08,EXMP,EXEMPLAR,missing property: ExemplarType
European cars automata and family props new instances, 0x6534284A,0x096E6739,0xEAEAFF09,EXMP,EXEMPLAR,missing property: ExemplarType
